,State,Country,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active
116,Guangdong,China,2021-04-24 09:20:58,23.3417,113.4244,2328,2275,8,45
117,Guangxi,China,2021-04-24 09:20:58,23.8298,108.7881,270,265,2,3
118,Guizhou,China,2021-04-24 09:20:58,26.8154,106.8748,147,145,2,0
119,Hainan,China,2021-04-24 09:20:58,19.1959,109.7453,187,165,6,16
120,Hebei,China,2021-04-24 09:20:58,37.8957,114.9042,1317,1310,7,0
121,Heilongjiang,China,2021-04-24 09:20:58,47.862,127.7615,1610,1597,13,0
122,Henan,China,2021-04-24 09:20:58,33.882,113.614,1312,1285,22,5
123,Hong Kong,China,2021-04-24 09:20:58,22.3,114.2,11727,11325,209,193
124,Hubei,China,2021-04-24 09:20:58,30.9756,112.2707,68157,63640,4512,5
125,Hunan,China,2021-04-24 09:20:58,27.6104,111.7088,1044,1036,4,4
126,Inner Mongolia,China,2021-04-24 09:20:58,44.0935,113.9448,379,376,1,2
127,Jiangsu,China,2021-04-24 09:20:58,32.9711,119.455,717,708,0,9
128,Jiangxi,China,2021-04-24 09:20:58,27.614,115.7221,937,936,1,0
129,Jilin,China,2021-04-24 09:20:58,43.6661,126.1923,573,570,3,0
130,Liaoning,China,2021-04-24 09:20:58,41.2956,122.6085,408,406,2,0
131,Macau,China,2021-04-24 09:20:58,22.1667,113.55,49,49,0,0
132,Ningxia,China,2021-04-24 09:20:58,37.2692,106.1655,75,75,0,0
133,Qinghai,China,2021-04-24 09:20:58,35.7452,95.9956,18,18,0,0
134,Shaanxi,China,2021-04-24 09:20:58,35.1917,108.8701,588,568,3,17
135,Shandong,China,2021-04-24 09:20:58,36.3427,118.1498,876,862,7,7
136,Shanghai,China,2021-04-24 09:20:58,31.202,121.4491,1958,1892,7,59
137,Shanxi,China,2021-04-24 09:20:58,37.5777,112.2922,249,242,0,7
138,Sichuan,China,2021-04-24 09:20:58,30.6171,102.7103,968,948,3,17
139,Tianjin,China,2021-04-24 09:20:58,39.3054,117.323,383,372,3,8
140,Tibet,China,2021-04-24 09:20:58,31.6927,88.0924,1,1,0,0
141,Unknown,China,2021-04-24 09:20:58,,,0,5,0,-5
142,Xinjiang,China,2021-04-24 09:20:58,41.1129,85.2401,980,977,3,0
143,Yunnan,China,2021-04-24 09:20:58,24.974,101.487,338,278,2,58
144,Zhejiang,China,2021-04-24 09:20:58,29.1832,120.0934,1331,1320,1,10
145,Amazonas,Colombia,2021-04-24 09:20:58,-1.4429,-71.5724,6099,5800,235,64
146,Antioquia,Colombia,2021-04-24 09:20:58,7.1986,-75.3412,450099,416668,8938,24493
147,Arauca,Colombia,2021-04-24 09:20:58,7.0762,-70.7105,6275,5858,183,234
148,Atlantico,Colombia,2021-04-24 09:20:58,10.6966,-74.8741,218229,199951,6185,12093
149,Bolivar,Colombia,2021-04-24 09:20:58,8.6704,-74.03,76785,73685,1499,1601
150,Boyaca,Colombia,2021-04-24 09:20:58,5.4545,-73.362,51625,48806,1210,1609
151,Caldas,Colombia,2021-04-24 09:20:58,5.2983,-75.2479,58249,54128,1142,2979
152,Capital District,Colombia,2021-04-24 09:20:58,4.711,-74.0721,758895,701961,15199,41735
153,Caqueta,Colombia,2021-04-24 09:20:58,0.8699,-73.8419,17359,16528,655,176
154,Casanare,Colombia,2021-04-24 09:20:58,5.7589,-71.5724,14360,13471,327,562
155,Cauca,Colombia,2021-04-24 09:20:58,2.705,-76.826,29754,28155,801,798
156,Cesar,Colombia,2021-04-24 09:20:58,9.3373,-73.6536,49970,47018,1366,1586
157,Choco,Colombia,2021-04-24 09:20:58,5.2528,-76.826,7581,7064,213,304
158,Cordoba,Colombia,2021-04-24 09:20:58,8.0493,-75.574,49866,45634,2170,2062
159,Cundinamarca,Colombia,2021-04-24 09:20:58,5.026,-74.03,121396,114761,3236,3399
160,Guainia,Colombia,2021-04-24 09:20:58,2.5854,-68.5247,1411,1371,22,18
161,Guaviare,Colombia,2021-04-24 09:20:58,1.0654,-73.2603,2325,2272,40,13
162,Huila,Colombia,2021-04-24 09:20:58,2.5359,-75.5277,52826,50342,1842,642
163,La Guajira,Colombia,2021-04-24 09:20:58,11.3548,-72.5205,26279,24334,831,1114
164,Magdalena,Colombia,2021-04-24 09:20:58,10.4113,-74.4057,55658,51304,2081,2273
165,Meta,Colombia,2021-04-24 09:20:58,3.272,-73.0877,45602,43961,1042,599
166,Narino,Colombia,2021-04-24 09:20:58,1.2892,-77.3579,52568,49506,1747,1315
167,Norte de Santander,Colombia,2021-04-24 09:20:58,7.9463,-72.8988,54103,50247,2818,1038
168,Putumayo,Colombia,2021-04-24 09:20:58,0.436,-75.5277,8997,8380,336,281
